created_at,id,text,truncated
2020-07-25 12:15:00,1286998385216684033,"The US has announced that it will not take in any new foreign students seeking online-only study, after rescinding a hotly contested order to expel those already in the country and preparing for that because of the #COVID19Pandemic.
#DonaldTrump
https://t.co/MSotiaqCo3",False
2020-07-25 12:12:42,1286997804905164800,Children playing games without wearing mask in containment zone Jodugullapalem in Visakhapatnam @NewIndianXpress @xpressandhra @Kalyan_TNIE @shibasahu2012 @Ravindra_TNIE https://t.co/I9UzClrANF,False
2020-07-25 12:10:15,1286997187642023936,"A #farmer forced to use his #daughters instead of oxen to pull the plough in his fields, due to financial crisis during #lockdown, in  #Chittoor district.

@NewIndianXpress @Kalyan_TNIE
#COVID19 #coronavirus #agriculture #farming #labour #farmanimals https://t.co/NKhRRrExb6",False
2020-07-25 11:55:55,1286993581279006721,"Has #COVID19 brought to the fore a kinder India? The New Sunday Express Magazine finds out. There are other reading delights too as our promo video highlights. 
@gsvasu_TNIE @etteth @Sunday_Standard @khogensingh1 
Subscribe here:  
https://t.co/nShFvhJBBa https://t.co/iaYXZHaEIs",False
2020-07-25 11:55:10,1286993390068883456,"Pondman Kaamegowda who has been admitted at Mandya institute of medical sciences after he tested positive. ""I am fine, no need to panic "" he tells. 

@NewIndianXpress @santwana99 @XpressBengaluru https://t.co/KJv1BTfKqo",False
2020-07-25 11:55:00,1286993348834754560,"A 22-year-old #COVID19 patient killed himself by jumping from the third floor of AIIMS building in Patna. Up to seven people have lost their lives in the state, by what appears to be a suicide, after being in quarantine. 
https://t.co/fac8i1c67P",False
2020-07-25 11:48:41,1286991760002969600,"#COVID19 update #Bhubaneswar

Total cases: 1828
From slums: 418
Death: 11
Active: 952

Symptomatic: 764
Asymptomatic: 1064

Cases in last 10 days: 969
Active: 873

#Odisha #coronavirus
@XpressOdisha @NewIndianXpress https://t.co/IYOxqdCyJr",False
2020-07-25 11:45:00,1286990832491405312,"Jenburkt Pharmaceuticals has launched #COVID__19 anti-viral drug #Favipiravir under the brand name 'Favivent' to treat mild and moderate #coronavirus symptoms at Rs 39 per tablet.
#CoronaVirusUpdates https://t.co/LGfcG6rID1",False
2020-07-25 11:38:46,1286989264140382208,A medical staff getting samples from a woman for covid-19 test   at  urban health centre in Tirupati on Saturday  @NewIndianXpress @xpressandhra @Kalyan_TNIE @shibasahu2012 @Ravindra_TNIE https://t.co/yZulFrQonv,False
2020-07-25 11:35:20,1286988400160051200,"With India mulling to invite Australia to join the next Malabar naval exercise, a top US diplomat has said that #Australia's participation along with other Quad members will be hugely beneficial in defending their mutual interests.
https://t.co/SZhe8DXNFI",False
