created_at,id,text,truncated
2020-07-21 20:31:09,1285673690454204418,Paul Celan écrivait : « Il est temps que la pierre se résolve enfin à fleurir ». Quel sens revêt cette injonction p… https://t.co/1A2efnIqZ6,True
2020-07-19 13:01:00,1284835631399604226,"""Ici c'est du concentré de corona. Regardez ici, on vit là et les gens viennent et font leurs besoins"" |… https://t.co/tOCwSBxtxw",True
2020-07-23 06:40:39,1286189465308991488,"Une image pour résumer la situation : à gauche, le nombre de cas de #corona par jour en #Israel lors de la 1ère vag… https://t.co/M9DQS987bu",True
2020-07-25 12:14:53,1286998352232669184,VOUS on est deconfiné mais le Corona est toujours là et ça tue 😥faites attention,False
2020-07-25 12:14:49,1286998339033214978,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:14:38,1286998291218149377,Je ne pensais pas que c'était possible de faire plus insipide que la Corona ! https://t.co/uNW0gqE1YY,False
2020-07-25 12:14:14,1286998189292363781,"@Serenacpc 😂😂😂😂😂😂
J’avais totalement oublié cette sauce (qui n’est pas le sujet: regarde les commentaires) 
Une foi… https://t.co/9IFbmhMG5f",True
2020-07-25 12:14:04,1286998149719109632,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:14:01,1286998134317617154,"RT @mistermv: J’ai la Corona Song de Renaud dans la tête depuis ce matin, c’est infernal.",False
2020-07-25 12:13:08,1286997913219080192,"RT @qualb_naqiun: Tu sors pas, le corona",False
2020-07-25 12:13:04,1286997895108014082,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:11:20,1286997460787896320,La noisette qui risque donc de rater la reprise de la Ligue du Corona contre l’Atalanta HOHOHO https://t.co/DbVHZYDJEq,False
2020-07-25 12:11:08,1286997411790041089,"@Met_eau Comme si Corona daffa diex ok 😂😂
187 décès",False
2020-07-25 12:10:48,1286997326696009728,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:10:30,1286997250711920641,"RT @mistermv: J’ai la Corona Song de Renaud dans la tête depuis ce matin, c’est infernal.",False
2020-07-25 12:10:18,1286997200602574848,"RT @qualb_naqiun: Tu sors pas, le corona",False
2020-07-25 12:09:56,1286997106167865346,Vos potes qui vous donne le corona puis vous le donnez à votre famille ptdr,False
2020-07-25 12:09:55,1286997103680663552,"Après avoir pris toutes les mesures préventives pour lutter contre la couronne depuis son départ jusqu'à présent, l… https://t.co/7JFBBm7v8l",True
2020-07-25 12:09:49,1286997078678347776,2020 : AOAT (Année Of All Time) n'en déplaise au Corona virus https://t.co/wPdkBUaUQN,False
2020-07-25 12:09:32,1286997007886934016,@FranoisMrl @ClzOceane parfait contre le corona,False
2020-07-25 12:09:18,1286996950060081154,"Tu sors pas, le corona https://t.co/kn4GWj5yxu",False
2020-07-25 12:09:17,1286996943063875585,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:09:13,1286996927062712321,jvais aller me faire tester pour le corona à 16h https://t.co/PxTmnnjhnZ,False
2020-07-25 12:06:37,1286996272013029376,"@philousports Ptdr Philou, en mars pour la première fois de ma vie j'ai gagné un concours grâce à toi et Boulanger… https://t.co/ENQdNKALRz",True
2020-07-25 12:06:05,1286996141146550272,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:05:15,1286995928797401088,"RT @Ratfa_1: ""Fuck les racistes, Fuck la police, Fuck 2020, Fuck Corona, WESH WESH ""

J'écoute du rap depuis 1453 et j'ai jamais entendu de…",False
2020-07-25 12:04:53,1286995837126684674,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:04:35,1286995760962318342,ouais dans corona là c'est happy run qui me manque même 💔,False
2020-07-25 12:04:06,1286995642259308544,"Si vous êtes allés à l'île d'Yeux ces derniers jours, ou si vous connaissez du monde qui y est allé, soyez prudents… https://t.co/HtXLo1dCNq",True
2020-07-25 12:03:47,1286995560424189952,"Bet dcb buteur 🇨🇳 en collab avec le bro @ButeursPronos 👌

La doublette du fc Corona devrais faire le taff 😂… https://t.co/EqVvWXQamf",True
2020-07-25 12:03:18,1286995438051131396,"RT @BengueFrederic: @ADuferret @QanonFrance La belle sœur de mon épouse travaille dans un hôpital public en Belgique, ville de 50 000 habit…",False
2020-07-25 12:02:27,1286995226557591553,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",False
2020-07-25 12:01:15,1286994923175268355,@badri1_m Le gouvernement n’a pas ce souci tout ce qui l’intéresse c’est les statistiques Corona,False
2020-07-25 12:00:55,1286994840501334016,Le corona c'est comme l'amour il es arriver et on a cru qu'il étai partie mais nan il es encor la a nous ronger..... 💘,False
2020-07-25 12:00:39,1286994773388165120,"RT @flopewe: Vous allez à une Be Fresh, vous attrapez le corona et vous vous plaignez qu’on lance blague? ON VA RIGOLER JUSQU’AAAAAAAAAA",False
